,0
0,119948.2342312217
1,156153.4819178534
2,171777.02890261816
3,183566.16565028415
4,178967.979956164
5,175984.32641610663
6,177382.2335553634
7,169820.288280738
8,181457.1720200133
9,117175.76146037556
10,200998.96793374597
11,90144.6373509965
12,94551.28887592215
13,152776.11539400395
14,131864.87665059455
15,388289.68468206486
16,245527.60661612666
17,288576.324389576
18,285610.45467356266
19,402312.41736294166
20,343504.4069730848
21,209712.6942318158
22,167459.56052674245
23,164713.54845914873
24,168944.9586014762
25,191590.17854361862
26,314834.8313821129
27,246101.085230934
28,195889.9869913499
29,213833.42407857135
30,186712.39942226632
31,84977.73804307518
32,174850.04432093512
33,307310.2396560854
34,297128.2506998799
35,236603.3858563668
36,191339.401529826
37,155586.10759556293
38,161781.31891405515
39,164693.53889293486
40,193593.00483031827
41,147684.88542042213
42,259133.53604493977
43,237803.28823642925
44,224301.12708263693
45,183049.15127686306
46,238123.43462135346
47,193549.1110677725
48,162693.78491141906
49,144572.40255192248
50,138561.36039280536
51,186454.4374416676
52,142905.8766096849
53,164223.63525689385
54,197907.67271374882
55,149509.80961132675
56,160003.19992049385
57,132170.03204816702
58,234256.58797512518
59,132906.79929528042
60,131228.32122897907
61,174701.46090192517
62,113282.71163216238
63,125526.01562878527
64,122532.06816914937
65,123899.33172834356
66,105549.89327700515
67,138951.2699145932
68,137899.1147772491
69,185743.83846009674
70,161131.33888166313
71,115466.77636744946
72,165104.75225291034
73,127352.63400211395
74,163902.23016588355
75,107176.50893722703
76,91062.98473716291
77,199614.75038222747
78,223726.88862644898
79,134876.77002263832
80,136263.022227467
81,154933.47008821706
82,221526.54314431272
83,110209.70492044064
84,112523.34561577826
85,123005.7926151251
86,140614.35466553207
87,140442.91875181062
88,111429.78890725841
89,120190.31321824485
90,119478.1256457133
91,125759.83018271337
92,148458.10507019638
93,122479.39495723732
94,161999.6429093816
95,86129.59423047773
96,108285.23896524443
97,96387.43482296834
98,87968.02259881688
99,131593.42010136132
100,161606.26873606077
101,127453.28532541847
102,115597.8933058033
103,163575.31470968566
104,138719.19746656893
105,226761.4340845964
106,71756.58445240407
107,218345.06457123428
108,122867.13054204357
109,124485.98681444698
110,132814.58693637364
111,144668.58943444665
112,215983.72108418707
113,133504.6204103925
114,218907.73967602995
115,227901.8188897303
116,192648.10747692108
117,138090.5140244553
118,150140.93758531133
119,193467.79675248713
120,147027.7538681691
121,132669.94007546923
122,354887.7204179297
123,223676.5607377321
124,139584.0461670461
125,90324.92283552182
126,113032.94972169273
127,147545.5282905909
128,97218.74841789757
129,145039.19472046438
130,100547.68725488125
131,137621.70245499484
132,126322.2918505194
133,160255.65982450408
134,112402.34924400998
135,243124.2491100439
136,171712.44888622646
137,195577.3603382803
138,175147.99572646437
139,161521.3969156649
140,49075.2045232073
141,99013.98589225233
142,88511.41574751837
143,296132.921387682
144,250066.16733897087
145,170780.9493647497
146,168145.46259462668
147,215979.43374693242
148,180938.52051388234
149,170311.55594824566
150,146630.3810838684
151,183967.69459064328
152,160389.51955028484
153,130233.20144026511
154,91226.31760928886
155,74678.52304151702
156,103773.98256536448
157,129950.5133249702
158,134127.05573726498
159,198313.51829911524
160,151571.15459953647
161,142035.10912692262
162,302336.9648942075
163,215767.59777309664
164,111778.27331781527
165,185368.51180700888
166,176768.9436431297
167,262014.456539792
168,178782.42212836098
169,363544.0760562508
170,217711.45798842618
171,246759.2877343073
172,160612.31699186665
173,196851.09633439415
174,179402.79687472782
175,164268.96385320058
176,203580.80083927122
177,198642.5249211435
178,169772.20156747373
179,253229.5008913867
180,157237.99221536427
181,236411.08567489323
182,226168.7808080514
183,219850.1527697841
184,191026.64514704922
185,166141.20625768395
186,152332.4263886934
187,135200.83149190532
188,141626.0538032863
189,128730.53475868674
190,126607.3506395131
191,94760.20723340611
192,103233.41772542658
193,153184.37282968036
194,145151.4333601136
195,150143.14812826834
196,156267.57929412517
197,152090.36618874263
198,134172.97137213484
199,144666.70865282704
200,485566.4469284184
201,372748.0891172841
202,413047.29860434926
203,502549.5708488042
204,305660.8235701039
205,311938.44492884615
206,367376.5218874528
207,348976.29474676657
208,294272.37295326206
209,362455.20280188764
210,262162.7901182623
211,476277.5157073099
212,309369.545372278
213,248923.93119524728
214,186524.22463870773
215,198355.33491557158
216,217153.19936298463
217,471093.4179126309
218,425922.44267910876
219,360004.24968903995
220,239423.95330545973
221,288696.1279649197
222,193326.70623737454
223,172678.96076509418
224,167870.61849012497
225,180293.9474859425
226,158150.04457039322
227,192028.0781955694
228,183909.32504611192
229,189030.54423604693
230,169772.0276180278
231,252695.19646633128
232,148889.61388676625
233,185732.8198972242
234,172366.4951736614
235,278464.35979186656
236,174832.0189180216
237,355573.8145619669
238,340994.7048512349
239,253015.9548286969
240,280762.87662308855
241,262463.3224631633
242,264250.8738326782
243,294690.1562957071
244,221832.72556052788
245,514426.3642792982
246,206858.89707591818
247,196550.33790167584
248,255113.7145178456
249,219549.81920473633
250,255124.06009893445
251,256733.55180566944
252,264186.08910157357
253,220574.60429103445
254,205107.14450414514
255,178205.35852507036
256,171697.73930765546
257,130301.42891488678
258,189906.3460996364
259,236104.1402432206
260,162897.05490698013
261,130286.69079893871
262,177801.64827363766
263,216185.9978185233
264,240425.46686947395
265,187828.87779413143
266,159970.84946094418
267,174408.48065127028
268,145076.16223751652
269,160390.07848332686
270,127513.40038944146
271,129125.51315893556
272,111500.89508657083
273,124839.77968216794
274,132907.34397098375
275,125139.93955305543
276,320717.55532644363
277,237633.39116505964
278,304574.07634519355
279,230016.72979483975
280,190507.80010782895
281,177932.76356502922
282,179693.18726638437
283,234213.25591877243
284,198436.78545990813
285,219708.87163640172
286,205849.78545588598
287,239463.27774228927
288,157972.0168752013
289,145610.3487272592
290,223742.36795314195
291,116438.10586853971
292,138637.78033337463
293,206810.50998679682
294,175707.3170024627
295,132698.60887580572
